,stn_num,time_obs,prs_stn,prs_sea_lvl,prs_lvl_hgt,tmp_air_dry,tmp_air_wet,tmp_dew_pnt,hmd_rlt,wind_dir,wind_spd,cld_ttl_cvr,cld_low_cvr,cld_low_hgt,cld_low_type,cld_med_type,cld_high_type,weather_crr,weather_past_1,vis_code,year,month,day,hour,monthyear,date
5289578,6770,2000-01-04 00:00,918,,1448,10,9.5,9,94,260,5,7,7,3,8,10,10,10,2,58,2000,1,4,00:00,01/2000,04/01/2000
5289579,6770,2000-01-04 03:00,917.3,,1441,9.7,8.9,8.1,90,220,4,7,7,3,8,10,10,10,2,58,2000,1,4,03:00,01/2000,04/01/2000
5289580,6770,2000-01-04 06:00,918,,1446,8.6,8.1,7.6,93,230,3,8,5,3,7,7,10,25,8,40,2000,1,4,06:00,01/2000,04/01/2000
5289581,6770,2000-01-04 09:00,918,,1443,8.5,7.9,7.3,92,230,5.5,8,5,3,7,7,10,60,8,40,2000,1,4,09:00,01/2000,04/01/2000
5289582,6770,2000-01-04 12:00,916.3,,1431,9,7.7,6.3,83,260,7,8,7,3,8,6,10,62,8,40,2000,1,4,12:00,01/2000,04/01/2000
5289583,6770,2000-01-04 15:00,917.2,,1434,6.8,6.2,5.5,92,260,7,8,7,3,7,2,10,60,8,40,2000,1,4,15:00,01/2000,04/01/2000
5289584,6770,2000-01-04 18:00,917.8,,1438,6,5.5,4.9,93,250,6.5,5,5,3,7,0,0,61,6,50,2000,1,4,18:00,01/2000,04/01/2000
5289585,6770,2000-01-04 21:00,919.1,,1430,5.6,5.2,4.7,94,260,8,7,7,3,7,10,10,60,6,50,2000,1,4,21:00,01/2000,04/01/2000
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
